rbh_set_name,rbh_track_id,rbh_created_date,rbh_set_number,rbh_extract_timestamp
HISTORY 2023-12-26,179,2023-12-26,20,2025-12-11 14:19:05
HISTORY 2023-12-26,256,2023-12-26,20,2025-12-11 14:19:05
HISTORY 2023-12-26,122,2023-12-26,20,2025-12-11 14:19:05
HISTORY 2023-12-26,60,2023-12-26,20,2025-12-11 14:19:05
HISTORY 2023-12-26 (1),384,2023-12-26,21,2025-12-11 14:19:05
HISTORY 2023-12-26 (1),85,2023-12-26,21,2025-12-11 14:19:05
HISTORY 2023-12-26 (1),31,2023-12-26,21,2025-12-11 14:19:05
HISTORY 2023-12-26 (1),288,2023-12-26,21,2025-12-11 14:19:05
HISTORY 2023-12-26 (1),78,2023-12-26,21,2025-12-11 14:19:05
HISTORY 2023-12-26 (1),518,2023-12-26,21,2025-12-11 14:19:05
HISTORY 2024-01-10,120,2024-01-10,22,2025-12-11 14:19:05
HISTORY 2024-01-10,104,2024-01-10,22,2025-12-11 14:19:05
HISTORY 2024-01-10,32,2024-01-10,22,2025-12-11 14:19:05
HISTORY 2024-01-10,389,2024-01-10,22,2025-12-11 14:19:05
HISTORY 2024-01-10,432,2024-01-10,22,2025-12-11 14:19:05
HISTORY 2024-01-10,412,2024-01-10,22,2025-12-11 14:19:05
HISTORY 2024-01-10,517,2024-01-10,22,2025-12-11 14:19:05
HISTORY 2024-01-10,519,2024-01-10,22,2025-12-11 14:19:05
HISTORY 2024-01-10,511,2024-01-10,22,2025-12-11 14:19:05
HISTORY 2024-01-10,396,2024-01-10,22,2025-12-11 14:19:05
HISTORY 2024-01-10,276,2024-01-10,22,2025-12-11 14:19:05
HISTORY 2024-01-10,161,2024-01-10,22,2025-12-11 14:19:05
HISTORY 2024-01-10 (1),33,2024-01-10,23,2025-12-11 14:19:05
HISTORY 2024-01-10 (1),59,2024-01-10,23,2025-12-11 14:19:05
HISTORY 2024-01-10 (1),343,2024-01-10,23,2025-12-11 14:19:05
HISTORY 2024-01-10 (1),227,2024-01-10,23,2025-12-11 14:19:05
HISTORY 2024-01-10 (1),144,2024-01-10,23,2025-12-11 14:19:05
HISTORY 2024-01-10 (1),182,2024-01-10,23,2025-12-11 14:19:05
HISTORY 2024-01-11,524,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,320,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,258,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,92,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,522,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,346,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,141,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,329,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,189,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,404,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,249,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,108,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,217,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,411,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,516,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-01-11,402,2024-01-11,24,2025-12-11 14:19:05
HISTORY 2024-04-26,529,2024-04-26,25,2025-12-11 14:19:05
HISTORY 2024-04-26,618,2024-04-26,25,2025-12-11 14:19:05
HISTORY 2024-04-26,427,2024-04-26,25,2025-12-11 14:19:05
HISTORY 2024-04-26,601,2024-04-26,25,2025-12-11 14:19:05
HISTORY 2024-04-26,144,2024-04-26,25,2025-12-11 14:19:05
HISTORY 2024-04-26,420,2024-04-26,25,2025-12-11 14:19:05
HISTORY 2024-04-26,619,2024-04-26,25,2025-12-11 14:19:05
HISTORY 2024-04-26,520,2024-04-26,25,2025-12-11 14:19:05
HISTORY 2024-04-26,552,2024-04-26,25,2025-12-11 14:19:05
HISTORY 2024-04-26,612,2024-04-26,25,2025-12-11 14:19:05
HISTORY 2024-06-18,553,2024-06-18,26,2025-12-11 14:19:05
HISTORY 2024-06-18,538,2024-06-18,26,2025-12-11 14:19:05
HISTORY 2024-06-18,536,2024-06-18,26,2025-12-11 14:19:05
HISTORY 2024-06-18,166,2024-06-18,26,2025-12-11 14:19:05
HISTORY 2024-06-18,423,2024-06-18,26,2025-12-11 14:19:05
HISTORY 2024-06-18,541,2024-06-18,26,2025-12-11 14:19:05
HISTORY 2024-06-18 (1),432,2024-06-18,27,2025-12-11 14:19:05
